model_id,baked_path,texture_path,source_urls,license
urban-00,baked/buildings/urban-00.m3d,baked/buildings/urban-00.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-01,baked/buildings/urban-01.m3d,baked/buildings/urban-01.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-02,baked/buildings/urban-02.m3d,baked/buildings/urban-02.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-03,baked/buildings/urban-03.m3d,baked/buildings/urban-03.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-04,baked/buildings/urban-04.m3d,baked/buildings/urban-04.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-05,baked/buildings/urban-05.m3d,baked/buildings/urban-05.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-06,baked/buildings/urban-06.m3d,baked/buildings/urban-06.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-07,baked/buildings/urban-07.m3d,baked/buildings/urban-07.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-08,baked/buildings/urban-08.m3d,baked/buildings/urban-08.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-09,baked/buildings/urban-09.m3d,baked/buildings/urban-09.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-10,baked/buildings/urban-10.m3d,baked/buildings/urban-10.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-11,baked/buildings/urban-11.m3d,baked/buildings/urban-11.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-12,baked/buildings/urban-12.m3d,baked/buildings/urban-12.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-13,baked/buildings/urban-13.m3d,baked/buildings/urban-13.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-14,baked/buildings/urban-14.m3d,baked/buildings/urban-14.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-15,baked/buildings/urban-15.m3d,baked/buildings/urban-15.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-16,baked/buildings/urban-16.m3d,baked/buildings/urban-16.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-17,baked/buildings/urban-17.m3d,baked/buildings/urban-17.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-18,baked/buildings/urban-18.m3d,baked/buildings/urban-18.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-19,baked/buildings/urban-19.m3d,baked/buildings/urban-19.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-20,baked/buildings/urban-20.m3d,baked/buildings/urban-20.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-21,baked/buildings/urban-21.m3d,baked/buildings/urban-21.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-22,baked/buildings/urban-22.m3d,baked/buildings/urban-22.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-23,baked/buildings/urban-23.m3d,baked/buildings/urban-23.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-24,baked/buildings/urban-24.m3d,baked/buildings/urban-24.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-25,baked/buildings/urban-25.m3d,baked/buildings/urban-25.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-26,baked/buildings/urban-26.m3d,baked/buildings/urban-26.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-27,baked/buildings/urban-27.m3d,baked/buildings/urban-27.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-28,baked/buildings/urban-28.m3d,baked/buildings/urban-28.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
urban-29,baked/buildings/urban-29.m3d,baked/buildings/urban-29.png,https://polyhaven.com/a/modular_urban_apartments_facade|https://polyhaven.com/a/modular_factory_facade,CC0-1.0
